,word,event,anxiety,response
0,Rare,severe,1,1%
1,Rare,severe,0,5%
2,Rare,mild,1,1%
3,Rare,mild,0,10%
4,Uncommon,severe,1,5%
5,Uncommon,severe,0,10%
6,Uncommon,mild,1,5%
7,Uncommon,mild,0,25%
8,Unlikely,severe,1,10%
9,Unlikely,severe,0,10%
10,Unlikely,mild,1,20%
11,Unlikely,mild,0,20%
12,Possible,severe,1,20%
13,Possible,severe,0,20%
14,Possible,mild,1,15%
15,Possible,mild,0,25%
16,Common,severe,1,20%
17,Common,severe,0,50%
18,Common,mild,1,10%
19,Common,mild,0,40%
20,Very Common,severe,1,25%
21,Very Common,severe,0,25%
22,Very Common,mild,1,35%
23,Very Common,mild,0,60%
24,Probable,severe,1,60%
25,Probable,severe,0,70%
26,Probable,mild,1,70%
27,Probable,mild,0,70%
28,Likely,severe,1,70%
29,Likely,severe,0,70%
30,Likely,mild,1,70%
31,Likely,mild,0,70%
32,Usual,severe,1,50%
33,Usual,severe,0,50%
34,Usual,mild,1,20%
35,Usual,mild,0,50%
36,Very Likely,severe,1,75%
37,Very Likely,severe,0,75%
38,Very Likely,mild,1,90%
39,Very Likely,mild,0,80%
40,Rare,severe,1,5%
41,Rare,severe,0,3%
42,Rare,mild,1,5%
43,Rare,mild,0,5%
44,Uncommon,severe,1,5%
45,Uncommon,severe,0,5%
46,Uncommon,mild,1,5%
47,Uncommon,mild,0,5%
48,Unlikely,severe,1,10%
49,Unlikely,severe,0,25%
50,Unlikely,mild,1,10%
51,Unlikely,mild,0,15%
52,Possible,severe,1,"There is not enough specific information provided to give an accurate probability, such as your age, medical history, lifestyle factors, and more. However, the average annual risk of stroke for the general population is typically less than 1%. While your specific risk may be higher due to your medical history, consulting with your healthcare provider for personalized information would be most accurate."
53,Possible,severe,0,23%
54,Possible,mild,1,20%
55,Possible,mild,0,10%
56,Common,severe,1,20%
57,Common,severe,0,20%
58,Common,mild,1,25%
59,Common,mild,0,30%
60,Very Common,severe,1,20%
61,Very Common,severe,0,60%
62,Very Common,mild,1,60%
63,Very Common,mild,0,70%
64,Probable,severe,1,75%
65,Probable,severe,0,75%
66,Probable,mild,1,70%
67,Probable,mild,0,70%
68,Likely,severe,1,70%
69,Likely,severe,0,70%
70,Likely,mild,1,70%
71,Likely,mild,0,70%
72,Usual,severe,1,40%
73,Usual,severe,0,50%
74,Usual,mild,1,20%
75,Usual,mild,0,50%
76,Very Likely,severe,1,80%
77,Very Likely,severe,0,80%
78,Very Likely,mild,1,80%
79,Very Likely,mild,0,80%
80,Rare,severe,1,1%
81,Rare,severe,0,10%
82,Rare,mild,1,5%
83,Rare,mild,0,5%
84,Uncommon,severe,1,15%
85,Uncommon,severe,0,5%
86,Uncommon,mild,1,5%
87,Uncommon,mild,0,10%
88,Unlikely,severe,1,5%
89,Unlikely,severe,0,20%
90,Unlikely,mild,1,10%
91,Unlikely,mild,0,10%
92,Possible,severe,1,20%
93,Possible,severe,0,25%
94,Possible,mild,1,30%
95,Possible,mild,0,50%
96,Common,severe,1,20%
97,Common,severe,0,30%
98,Common,mild,1,30%
99,Common,mild,0,30%
100,Very Common,severe,1,20%
101,Very Common,severe,0,30%
102,Very Common,mild,1,60%
103,Very Common,mild,0,75%
104,Probable,severe,1,75%
105,Probable,severe,0,70%
106,Probable,mild,1,70%
107,Probable,mild,0,70%
108,Likely,severe,1,70%
109,Likely,severe,0,70%
110,Likely,mild,1,70%
111,Likely,mild,0,70%
112,Usual,severe,1,50%
113,Usual,severe,0,50%
114,Usual,mild,1,70%
115,Usual,mild,0,50%
116,Very Likely,severe,1,75%
117,Very Likely,severe,0,75%
118,Very Likely,mild,1,80%
119,Very Likely,mild,0,80%
120,Rare,severe,1,1%
121,Rare,severe,0,5%
122,Rare,mild,1,5%
123,Rare,mild,0,5%
124,Uncommon,severe,1,5%
125,Uncommon,severe,0,5%
126,Uncommon,mild,1,5%
127,Uncommon,mild,0,10%
128,Unlikely,severe,1,5%
129,Unlikely,severe,0,10%
130,Unlikely,mild,1,10%
131,Unlikely,mild,0,25%
132,Possible,severe,1,15%
133,Possible,severe,0,20%
134,Possible,mild,1,50%
135,Possible,mild,0,25%
136,Common,severe,1,30%
137,Common,severe,0,25%
138,Common,mild,1,25%
139,Common,mild,0,45%
140,Very Common,severe,1,20%
141,Very Common,severe,0,20%
142,Very Common,mild,1,42%
143,Very Common,mild,0,75%
144,Probable,severe,1,60%
145,Probable,severe,0,70%
146,Probable,mild,1,75%
147,Probable,mild,0,70%
148,Likely,severe,1,60%
149,Likely,severe,0,60%
150,Likely,mild,1,70%
151,Likely,mild,0,60%
152,Usual,severe,1,80%
153,Usual,severe,0,80%
154,Usual,mild,1,30%
155,Usual,mild,0,50%
156,Very Likely,severe,1,70%
157,Very Likely,severe,0,80%
158,Very Likely,mild,1,80%
159,Very Likely,mild,0,80%
160,Rare,severe,1,1%
161,Rare,severe,0,5%
162,Rare,mild,1,1%
163,Rare,mild,0,5%
164,Uncommon,severe,1,5%
165,Uncommon,severe,0,5%
166,Uncommon,mild,1,5%
167,Uncommon,mild,0,10%
168,Unlikely,severe,1,5%
169,Unlikely,severe,0,20%
170,Unlikely,mild,1,20%
171,Unlikely,mild,0,10%
172,Possible,severe,1,50%
173,Possible,severe,0,10%
174,Possible,mild,1,50%
175,Possible,mild,0,5%
176,Common,severe,1,15%
177,Common,severe,0,25%
178,Common,mild,1,25%
179,Common,mild,0,60%
180,Very Common,severe,1,20%
181,Very Common,severe,0,80%
182,Very Common,mild,1,40%
183,Very Common,mild,0,75%
184,Probable,severe,1,70%
185,Probable,severe,0,70%
186,Probable,mild,1,60%
187,Probable,mild,0,70%
188,Likely,severe,1,70%
189,Likely,severe,0,70%
190,Likely,mild,1,70%
191,Likely,mild,0,70%
192,Usual,severe,1,25%
193,Usual,severe,0,50%
194,Usual,mild,1,20%
195,Usual,mild,0,35%
196,Very Likely,severe,1,75%
197,Very Likely,severe,0,70%
198,Very Likely,mild,1,90%
199,Very Likely,mild,0,70%
200,Rare,severe,1,1%
201,Rare,severe,0,1%
202,Rare,mild,1,5%
203,Rare,mild,0,5%
204,Uncommon,severe,1,5%
205,Uncommon,severe,0,5%
206,Uncommon,mild,1,10%
207,Uncommon,mild,0,15%
208,Unlikely,severe,1,10%
209,Unlikely,severe,0,10%
210,Unlikely,mild,1,10%
211,Unlikely,mild,0,20%
212,Possible,severe,1,20%
213,Possible,severe,0,20%
214,Possible,mild,1,20%
215,Possible,mild,0,30%
216,Common,severe,1,20%
217,Common,severe,0,38%
218,Common,mild,1,40%
219,Common,mild,0,50%
