,word,event,anxiety,response
0,Rare,severe,1,2%
1,Rare,severe,0,3%
2,Rare,mild,1,4%
3,Rare,mild,0,5%
4,Uncommon,severe,1,0.3%
5,Uncommon,severe,0,15%
6,Uncommon,mild,1,5%
7,Uncommon,mild,0,15%
8,Unlikely,severe,1,1%
9,Unlikely,severe,0,20%
10,Unlikely,mild,1,15%
11,Unlikely,mild,0,15%
12,Possible,severe,1,1%
13,Possible,severe,0,15%
14,Possible,mild,1,10%
15,Possible,mild,0,25%
16,Common,severe,1,0.4%
17,Common,severe,0,20%
18,Common,mild,1,15%
19,Common,mild,0,15%
20,Very Common,severe,1,8%
21,Very Common,severe,0,12%
22,Very Common,mild,1,15%
23,Very Common,mild,0,35%
24,Probable,severe,1,5%
25,Probable,severe,0,65%
26,Probable,mild,1,60%
27,Probable,mild,0,70%
28,Likely,severe,1,5%
29,Likely,severe,0,65%
30,Likely,mild,1,35%
31,Likely,mild,0,65%
32,Usual,severe,1,4%
33,Usual,severe,0,0.3%
34,Usual,mild,1,10%
35,Usual,mild,0,10%
36,Very Likely,severe,1,5%
37,Very Likely,severe,0,80%
38,Very Likely,mild,1,30%
39,Very Likely,mild,0,85%
40,Rare,severe,1,0.3%
41,Rare,severe,0,5%
42,Rare,mild,1,4%
43,Rare,mild,0,5%
44,Uncommon,severe,1,0.4%
45,Uncommon,severe,0,15%
46,Uncommon,mild,1,8%
47,Uncommon,mild,0,15%
48,Unlikely,severe,1,3%
49,Unlikely,severe,0,15%
50,Unlikely,mild,1,15%
51,Unlikely,mild,0,20%
52,Possible,severe,1,3%
53,Possible,severe,0,15%
54,Possible,mild,1,8%
55,Possible,mild,0,20%
56,Common,severe,1,3%
57,Common,severe,0,3%
58,Common,mild,1,15%
59,Common,mild,0,15%
60,Very Common,severe,1,2%
61,Very Common,severe,0,40%
62,Very Common,mild,1,15%
63,Very Common,mild,0,65%
64,Probable,severe,1,15%
65,Probable,severe,0,75%
66,Probable,mild,1,45%
67,Probable,mild,0,65%
68,Likely,severe,1,17%
69,Likely,severe,0,65%
70,Likely,mild,1,30%
71,Likely,mild,0,75%
72,Usual,severe,1,10%
73,Usual,severe,0,5%
74,Usual,mild,1,20%
75,Usual,mild,0,15%
76,Very Likely,severe,1,5%
77,Very Likely,severe,0,80%
78,Very Likely,mild,1,85%
79,Very Likely,mild,0,75%
80,Rare,severe,1,3%
81,Rare,severe,0,1%
82,Rare,mild,1,2%
83,Rare,mild,0,5%
84,Uncommon,severe,1,0.4%
85,Uncommon,severe,0,5%
86,Uncommon,mild,1,5%
87,Uncommon,mild,0,15%
88,Unlikely,severe,1,2%
89,Unlikely,severe,0,15%
90,Unlikely,mild,1,15%
91,Unlikely,mild,0,25%
92,Possible,severe,1,0.4%
93,Possible,severe,0,35%
94,Possible,mild,1,8%
95,Possible,mild,0,30%
96,Common,severe,1,1.8%
97,Common,severe,0,15%
98,Common,mild,1,8%
99,Common,mild,0,20%
100,Very Common,severe,1,2%
101,Very Common,severe,0,65%
102,Very Common,mild,1,15%
103,Very Common,mild,0,35%
104,Probable,severe,1,15%
105,Probable,severe,0,65%
106,Probable,mild,1,30%
107,Probable,mild,0,75%
108,Likely,severe,1,5%
