,word,event,anxiety,response
0,Rare,severe,1,"1%
"
1,Rare,severe,0,"5%
"
2,Rare,mild,1,"5%
"
3,Rare,mild,0,"5%
"
4,Uncommon,severe,1,"3%
"
5,Uncommon,severe,0,"10%
"
6,Uncommon,mild,1,"3%
"
7,Uncommon,mild,0,"15%
"
8,Unlikely,severe,1,"20%
"
9,Unlikely,severe,0,"15%
"
10,Unlikely,mild,1,"20%
"
11,Unlikely,mild,0,"20%
"
12,Possible,severe,1,"20%
"
13,Possible,severe,0,"30%
"
14,Possible,mild,1,"20%
"
15,Possible,mild,0,"60%
"
16,Common,severe,1,"50%
"
17,Common,severe,0,"5%
"
18,Common,mild,1,"60%
"
19,Common,mild,0,"60%
"
20,Very Common,severe,1,"60%
"
21,Very Common,severe,0,"70%
"
22,Very Common,mild,1,"70%
"
23,Very Common,mild,0,"70%
"
24,Probable,severe,1,"60%
"
25,Probable,severe,0,"70%
"
26,Probable,mild,1,"75%
"
27,Probable,mild,0,"75%
"
28,Likely,severe,1,"75%
"
29,Likely,severe,0,"70%
"
30,Likely,mild,1,"75%
"
31,Likely,mild,0,"75%
"
32,Usual,severe,1,"50%
"
33,Usual,severe,0,"50%
"
34,Usual,mild,1,"50%
"
35,Usual,mild,0,"50%
"
36,Very Likely,severe,1,"85%
"
37,Very Likely,severe,0,"90%
"
38,Very Likely,mild,1,"85%
"
39,Very Likely,mild,0,"90%
"
40,Rare,severe,1,"1%
"
41,Rare,severe,0,"5%
"
42,Rare,mild,1,"3%
"
43,Rare,mild,0,"5%
"
44,Uncommon,severe,1,"1%
"
45,Uncommon,severe,0,"10%
"
46,Uncommon,mild,1,"10%
"
47,Uncommon,mild,0,"10%
"
48,Unlikely,severe,1,"20%
"
49,Unlikely,severe,0,"15%
"
50,Unlikely,mild,1,"20%
"
51,Unlikely,mild,0,"20%
"
52,Possible,severe,1,"5%
"
53,Possible,severe,0,"20%
"
54,Possible,mild,1,"40%
"
55,Possible,mild,0,"50%
"
56,Common,severe,1,"50%
"
57,Common,severe,0,"5%
"
58,Common,mild,1,"50%
"
59,Common,mild,0,"60%
"
60,Very Common,severe,1,"60%
"
61,Very Common,severe,0,"70%
"
62,Very Common,mild,1,"75%
"
63,Very Common,mild,0,"70%
"
64,Probable,severe,1,"60%
"
65,Probable,severe,0,"70%
"
66,Probable,mild,1,"75%
"
67,Probable,mild,0,"75%
"
68,Likely,severe,1,"75%
"
69,Likely,severe,0,"75%
"
70,Likely,mild,1,"75%
"
71,Likely,mild,0,"75%
"
72,Usual,severe,1,"50%
"
73,Usual,severe,0,"50%
"
74,Usual,mild,1,"50%
"
75,Usual,mild,0,"50%
"
76,Very Likely,severe,1,"85%
"
77,Very Likely,severe,0,"90%
"
78,Very Likely,mild,1,"85%
"
79,Very Likely,mild,0,"90%
"
80,Rare,severe,1,"1%
"
81,Rare,severe,0,"5%
"
82,Rare,mild,1,"5%
"
83,Rare,mild,0,"5%
"
84,Uncommon,severe,1,"5%
"
85,Uncommon,severe,0,"10%
"
86,Uncommon,mild,1,"10%
"
87,Uncommon,mild,0,"10%
"
88,Unlikely,severe,1,"20%
"
89,Unlikely,severe,0,"20%
"
90,Unlikely,mild,1,"20%
"
91,Unlikely,mild,0,"20%
"
92,Possible,severe,1,"20%
"
93,Possible,severe,0,"30%
"
94,Possible,mild,1,"10%
"
95,Possible,mild,0,"50%
"
96,Common,severe,1,"50%
"
97,Common,severe,0,"60%
"
98,Common,mild,1,"50%
"
99,Common,mild,0,"70%
"
100,Very Common,severe,1,"60%
"
101,Very Common,severe,0,"70%
"
102,Very Common,mild,1,"75%
"
103,Very Common,mild,0,"70%
"
104,Probable,severe,1,"60%
"
105,Probable,severe,0,"70%
"
106,Probable,mild,1,"75%
"
107,Probable,mild,0,"75%
"
108,Likely,severe,1,"75%
"
109,Likely,severe,0,"70%
"
110,Likely,mild,1,"75%
"
111,Likely,mild,0,"70%
"
112,Usual,severe,1,"50%
"
113,Usual,severe,0,"50%
"
114,Usual,mild,1,"50%
"
115,Usual,mild,0,"50%
"
116,Very Likely,severe,1,"75%
"
117,Very Likely,severe,0,"90%
"
118,Very Likely,mild,1,"85%
"
119,Very Likely,mild,0,"90%
"
120,Rare,severe,1,"1
"
121,Rare,severe,0,"5%
"
122,Rare,mild,1,"3%
"
123,Rare,mild,0,"5%
"
124,Uncommon,severe,1,"10%
"
125,Uncommon,severe,0,"10%
"
126,Uncommon,mild,1,"3%
"
127,Uncommon,mild,0,"15%
"
128,Unlikely,severe,1,"20%
"
129,Unlikely,severe,0,"20%
"
130,Unlikely,mild,1,"20%
"
131,Unlikely,mild,0,"20%
"
132,Possible,severe,1,"5%
"
133,Possible,severe,0,"30%
"
134,Possible,mild,1,"25%
"
135,Possible,mild,0,"50%
"
136,Common,severe,1,"50%
"
137,Common,severe,0,"6%
"
138,Common,mild,1,"50%
"
139,Common,mild,0,"70%
"
140,Very Common,severe,1,"60%
"
141,Very Common,severe,0,"70%
"
142,Very Common,mild,1,"60%
"
143,Very Common,mild,0,"70%
"
144,Probable,severe,1,"60%
"
145,Probable,severe,0,"70%
"
146,Probable,mild,1,"75%
"
147,Probable,mild,0,"75%
"
148,Likely,severe,1,"75%
"
149,Likely,severe,0,"70%
"
150,Likely,mild,1,"75%
"
151,Likely,mild,0,"75%
"
152,Usual,severe,1,"50%
"
153,Usual,severe,0,"50%
"
154,Usual,mild,1,"50%
"
155,Usual,mild,0,"50%
"
156,Very Likely,severe,1,"75%
"
157,Very Likely,severe,0,"90%
"
158,Very Likely,mild,1,"85%
"
159,Very Likely,mild,0,"90%
"
160,Rare,severe,1,"3%
"
161,Rare,severe,0,"5%
"
162,Rare,mild,1,"5%
"
163,Rare,mild,0,"5%
"
164,Uncommon,severe,1,"10%
"
165,Uncommon,severe,0,"10%
"
166,Uncommon,mild,1,"10%
"
167,Uncommon,mild,0,"10%
"
168,Unlikely,severe,1,"20%
"
169,Unlikely,severe,0,"20%
"
170,Unlikely,mild,1,"20%
"
171,Unlikely,mild,0,"20%
"
172,Possible,severe,1,"20%
"
173,Possible,severe,0,"30%
"
174,Possible,mild,1,"40%
"
175,Possible,mild,0,"60%
"
176,Common,severe,1,"50%
"
177,Common,severe,0,"5%
"
178,Common,mild,1,"50%
"
179,Common,mild,0,"70%
"
180,Very Common,severe,1,"70%
"
181,Very Common,severe,0,"70%
"
182,Very Common,mild,1,"65%
"
183,Very Common,mild,0,"70%
"
184,Probable,severe,1,"60%
"
185,Probable,severe,0,"70%
"
186,Probable,mild,1,"75%
"
187,Probable,mild,0,"75%
"
188,Likely,severe,1,"75%
"
