,word,event,anxiety,response
0,Rare,severe,1,1
1,Rare,severe,0,1%
2,Rare,mild,1,1%
3,Rare,mild,0,1%
4,Uncommon,severe,1,5%
5,Uncommon,severe,0,5%
6,Uncommon,mild,1,10%
7,Uncommon,mild,0,10%
8,Unlikely,severe,1,10%
9,Unlikely,severe,0,10%
10,Unlikely,mild,1,10%
11,Unlikely,mild,0,20%
12,Possible,severe,1,15
13,Possible,severe,0,10
14,Possible,mild,1,10
15,Possible,mild,0,10
16,Common,severe,1,10
17,Common,severe,0,10
18,Common,mild,1,20
19,Common,mild,0,20
20,Very Common,severe,1,25
21,Very Common,severe,0,80
22,Very Common,mild,1,80
23,Very Common,mild,0,80
24,Probable,severe,1,60
25,Probable,severe,0,75
26,Probable,mild,1,60
27,Probable,mild,0,60
28,Likely,severe,1,75%
29,Likely,severe,0,60
30,Likely,mild,1,75
31,Likely,mild,0,60%
32,Usual,severe,1,1
33,Usual,severe,0,50
34,Usual,mild,1,50
35,Usual,mild,0,50
36,Very Likely,severe,1,80
37,Very Likely,severe,0,80
38,Very Likely,mild,1,80
39,Very Likely,mild,0,80
40,Rare,severe,1,1
41,Rare,severe,0,1%
42,Rare,mild,1,1%
43,Rare,mild,0,1%
44,Uncommon,severe,1,5
45,Uncommon,severe,0,10%
46,Uncommon,mild,1,5%
47,Uncommon,mild,0,10%
48,Unlikely,severe,1,10%
49,Unlikely,severe,0,10%
50,Unlikely,mild,1,10%
51,Unlikely,mild,0,10%
52,Possible,severe,1,10
53,Possible,severe,0,10
54,Possible,mild,1,10
55,Possible,mild,0,20
56,Common,severe,1,15
57,Common,severe,0,10
58,Common,mild,1,20
59,Common,mild,0,30
60,Very Common,severe,1,25%
61,Very Common,severe,0,25
62,Very Common,mild,1,80
63,Very Common,mild,0,80
64,Probable,severe,1,60
65,Probable,severe,0,75
66,Probable,mild,1,60
67,Probable,mild,0,60
68,Likely,severe,1,75%
69,Likely,severe,0,60%
70,Likely,mild,1,75%
71,Likely,mild,0,60%
72,Usual,severe,1,50
73,Usual,severe,0,50
74,Usual,mild,1,50
75,Usual,mild,0,50
76,Very Likely,severe,1,80
77,Very Likely,severe,0,80%
78,Very Likely,mild,1,80
79,Very Likely,mild,0,85%
80,Rare,severe,1,1
81,Rare,severe,0,1%
82,Rare,mild,1,1%
83,Rare,mild,0,1%
84,Uncommon,severe,1,5%
85,Uncommon,severe,0,5%
86,Uncommon,mild,1,5%
87,Uncommon,mild,0,5%
88,Unlikely,severe,1,10%
89,Unlikely,severe,0,10%
90,Unlikely,mild,1,10%
91,Unlikely,mild,0,20%
92,Possible,severe,1,15
93,Possible,severe,0,10
94,Possible,mild,1,10
95,Possible,mild,0,10
96,Common,severe,1,10
97,Common,severe,0,10
98,Common,mild,1,20
99,Common,mild,0,30
100,Very Common,severe,1,25
101,Very Common,severe,0,20
102,Very Common,mild,1,20
103,Very Common,mild,0,80
104,Probable,severe,1,75
105,Probable,severe,0,75%
106,Probable,mild,1,60
107,Probable,mild,0,60%
108,Likely,severe,1,75
109,Likely,severe,0,75%
110,Likely,mild,1,60
111,Likely,mild,0,75%
112,Usual,severe,1,1
113,Usual,severe,0,50
114,Usual,mild,1,50
115,Usual,mild,0,50
116,Very Likely,severe,1,80
117,Very Likely,severe,0,80
118,Very Likely,mild,1,80
119,Very Likely,mild,0,85%
120,Rare,severe,1,0.1
121,Rare,severe,0,1%
122,Rare,mild,1,1%
123,Rare,mild,0,1%
124,Uncommon,severe,1,5
125,Uncommon,severe,0,5%
126,Uncommon,mild,1,10
127,Uncommon,mild,0,10%
128,Unlikely,severe,1,10%
129,Unlikely,severe,0,10%
130,Unlikely,mild,1,10%
131,Unlikely,mild,0,20%
132,Possible,severe,1,5
133,Possible,severe,0,5
134,Possible,mild,1,15
135,Possible,mild,0,10
136,Common,severe,1,10
137,Common,severe,0,15
138,Common,mild,1,20
139,Common,mild,0,30
140,Very Common,severe,1,25
141,Very Common,severe,0,20
142,Very Common,mild,1,50
143,Very Common,mild,0,80%
144,Probable,severe,1,70
145,Probable,severe,0,75%
146,Probable,mild,1,60
147,Probable,mild,0,60%
148,Likely,severe,1,75
149,Likely,severe,0,60%
150,Likely,mild,1,75%
151,Likely,mild,0,60
152,Usual,severe,1,50
153,Usual,severe,0,50
154,Usual,mild,1,50
155,Usual,mild,0,50
156,Very Likely,severe,1,80
157,Very Likely,severe,0,85%
158,Very Likely,mild,1,80
159,Very Likely,mild,0,80%
160,Rare,severe,1,1
161,Rare,severe,0,1%
162,Rare,mild,1,1%
163,Rare,mild,0,1%
164,Uncommon,severe,1,5%
165,Uncommon,severe,0,5%
166,Uncommon,mild,1,10
167,Uncommon,mild,0,10%
168,Unlikely,severe,1,10
169,Unlikely,severe,0,10%
170,Unlikely,mild,1,10
171,Unlikely,mild,0,20%
172,Possible,severe,1,5
173,Possible,severe,0,10%
174,Possible,mild,1,10
175,Possible,mild,0,10
176,Common,severe,1,10
177,Common,severe,0,10
178,Common,mild,1,20
179,Common,mild,0,20
180,Very Common,severe,1,15
181,Very Common,severe,0,80
182,Very Common,mild,1,20
183,Very Common,mild,0,80
184,Probable,severe,1,60
185,Probable,severe,0,75
186,Probable,mild,1,60
187,Probable,mild,0,75%
188,Likely,severe,1,75%
189,Likely,severe,0,60%
190,Likely,mild,1,75%
191,Likely,mild,0,60%
192,Usual,severe,1,1
193,Usual,severe,0,50
194,Usual,mild,1,50
195,Usual,mild,0,50%
196,Very Likely,severe,1,80
197,Very Likely,severe,0,80%
198,Very Likely,mild,1,85
199,Very Likely,mild,0,85%
200,Rare,severe,1,1
201,Rare,severe,0,1%
202,Rare,mild,1,1%
203,Rare,mild,0,1%
204,Uncommon,severe,1,5%
205,Uncommon,severe,0,5%
206,Uncommon,mild,1,5%
207,Uncommon,mild,0,10%
208,Unlikely,severe,1,10%
209,Unlikely,severe,0,10%
210,Unlikely,mild,1,10%
211,Unlikely,mild,0,20%
212,Possible,severe,1,5
213,Possible,severe,0,10
214,Possible,mild,1,10
215,Possible,mild,0,10
216,Common,severe,1,10
217,Common,severe,0,10
218,Common,mild,1,10
219,Common,mild,0,30
220,Very Common,severe,1,25
221,Very Common,severe,0,25
222,Very Common,mild,1,50
223,Very Common,mild,0,80
224,Probable,severe,1,60
225,Probable,severe,0,60
226,Probable,mild,1,60
227,Probable,mild,0,60
228,Likely,severe,1,75%
229,Likely,severe,0,60%
230,Likely,mild,1,75
231,Likely,mild,0,60%
232,Usual,severe,1,1
233,Usual,severe,0,50
234,Usual,mild,1,50%
235,Usual,mild,0,50%
236,Very Likely,severe,1,80
237,Very Likely,severe,0,80%
238,Very Likely,mild,1,85%
239,Very Likely,mild,0,85%
240,Rare,severe,1,1
241,Rare,severe,0,1%
242,Rare,mild,1,1%
243,Rare,mild,0,1%
244,Uncommon,severe,1,1%
245,Uncommon,severe,0,5%
246,Uncommon,mild,1,10%
247,Uncommon,mild,0,10%
248,Unlikely,severe,1,10
249,Unlikely,severe,0,10%
250,Unlikely,mild,1,20%
251,Unlikely,mild,0,20%
252,Possible,severe,1,10
253,Possible,severe,0,10
254,Possible,mild,1,10
255,Possible,mild,0,20
256,Common,severe,1,25
257,Common,severe,0,20
258,Common,mild,1,10
259,Common,mild,0,30
260,Very Common,severe,1,25
261,Very Common,severe,0,20
262,Very Common,mild,1,80
263,Very Common,mild,0,80
264,Probable,severe,1,60
265,Probable,severe,0,75
266,Probable,mild,1,60
267,Probable,mild,0,60
268,Likely,severe,1,70%
269,Likely,severe,0,60
270,Likely,mild,1,75%
271,Likely,mild,0,60%
272,Usual,severe,1,50
273,Usual,severe,0,10
274,Usual,mild,1,50
275,Usual,mild,0,60
276,Very Likely,severe,1,80
277,Very Likely,severe,0,80
278,Very Likely,mild,1,85
279,Very Likely,mild,0,80
280,Rare,severe,1,0.1
281,Rare,severe,0,1%
282,Rare,mild,1,1%
283,Rare,mild,0,5%
284,Uncommon,severe,1,5
285,Uncommon,severe,0,5%
286,Uncommon,mild,1,5%
287,Uncommon,mild,0,10%
288,Unlikely,severe,1,10%
289,Unlikely,severe,0,10%
290,Unlikely,mild,1,10%
291,Unlikely,mild,0,10%
292,Possible,severe,1,5
293,Possible,severe,0,10
294,Possible,mild,1,10
