,word,event,anxiety,response,Model
0,Rare,severe,1,0.01,ChatGPT
1,Rare,severe,0,0.05,ChatGPT
2,Rare,mild,1,0.01,ChatGPT
3,Rare,mild,0,0.1,ChatGPT
4,Uncommon,severe,1,0.05,ChatGPT
5,Uncommon,severe,0,0.1,ChatGPT
6,Uncommon,mild,1,0.05,ChatGPT
7,Uncommon,mild,0,0.25,ChatGPT
8,Unlikely,severe,1,0.1,ChatGPT
9,Unlikely,severe,0,0.1,ChatGPT
10,Unlikely,mild,1,0.2,ChatGPT
11,Unlikely,mild,0,0.2,ChatGPT
12,Possible,severe,1,0.2,ChatGPT
13,Possible,severe,0,0.2,ChatGPT
14,Possible,mild,1,0.15,ChatGPT
15,Possible,mild,0,0.25,ChatGPT
16,Common,severe,1,0.2,ChatGPT
17,Common,severe,0,0.5,ChatGPT
18,Common,mild,1,0.1,ChatGPT
19,Common,mild,0,0.4,ChatGPT
20,Very Common,severe,1,0.25,ChatGPT
21,Very Common,severe,0,0.25,ChatGPT
22,Very Common,mild,1,0.35,ChatGPT
23,Very Common,mild,0,0.6,ChatGPT
24,Probable,severe,1,0.6,ChatGPT
25,Probable,severe,0,0.7,ChatGPT
26,Probable,mild,1,0.7,ChatGPT
27,Probable,mild,0,0.7,ChatGPT
28,Likely,severe,1,0.7,ChatGPT
29,Likely,severe,0,0.7,ChatGPT
30,Likely,mild,1,0.7,ChatGPT
31,Likely,mild,0,0.7,ChatGPT
32,Usual,severe,1,0.5,ChatGPT
33,Usual,severe,0,0.5,ChatGPT
34,Usual,mild,1,0.2,ChatGPT
35,Usual,mild,0,0.5,ChatGPT
36,Very Likely,severe,1,0.75,ChatGPT
37,Very Likely,severe,0,0.75,ChatGPT
38,Very Likely,mild,1,0.9,ChatGPT
39,Very Likely,mild,0,0.8,ChatGPT
40,Rare,severe,1,0.05,ChatGPT
41,Rare,severe,0,0.03,ChatGPT
42,Rare,mild,1,0.05,ChatGPT
43,Rare,mild,0,0.05,ChatGPT
44,Uncommon,severe,1,0.05,ChatGPT
45,Uncommon,severe,0,0.05,ChatGPT
46,Uncommon,mild,1,0.05,ChatGPT
47,Uncommon,mild,0,0.05,ChatGPT
48,Unlikely,severe,1,0.1,ChatGPT
49,Unlikely,severe,0,0.25,ChatGPT
50,Unlikely,mild,1,0.1,ChatGPT
51,Unlikely,mild,0,0.15,ChatGPT
52,Possible,severe,1,,ChatGPT
53,Possible,severe,0,0.23,ChatGPT
54,Possible,mild,1,0.2,ChatGPT
55,Possible,mild,0,0.1,ChatGPT
56,Common,severe,1,0.2,ChatGPT
57,Common,severe,0,0.2,ChatGPT
58,Common,mild,1,0.25,ChatGPT
59,Common,mild,0,0.3,ChatGPT
60,Very Common,severe,1,0.2,ChatGPT
61,Very Common,severe,0,0.6,ChatGPT
62,Very Common,mild,1,0.6,ChatGPT
63,Very Common,mild,0,0.7,ChatGPT
64,Probable,severe,1,0.75,ChatGPT
65,Probable,severe,0,0.75,ChatGPT
66,Probable,mild,1,0.7,ChatGPT
67,Probable,mild,0,0.7,ChatGPT
68,Likely,severe,1,0.7,ChatGPT
69,Likely,severe,0,0.7,ChatGPT
70,Likely,mild,1,0.7,ChatGPT
71,Likely,mild,0,0.7,ChatGPT
72,Usual,severe,1,0.4,ChatGPT
73,Usual,severe,0,0.5,ChatGPT
74,Usual,mild,1,0.2,ChatGPT
75,Usual,mild,0,0.5,ChatGPT
76,Very Likely,severe,1,0.8,ChatGPT
77,Very Likely,severe,0,0.8,ChatGPT
78,Very Likely,mild,1,0.8,ChatGPT
79,Very Likely,mild,0,0.8,ChatGPT
80,Rare,severe,1,0.01,ChatGPT
81,Rare,severe,0,0.1,ChatGPT
82,Rare,mild,1,0.05,ChatGPT
83,Rare,mild,0,0.05,ChatGPT
84,Uncommon,severe,1,0.15,ChatGPT
85,Uncommon,severe,0,0.05,ChatGPT
86,Uncommon,mild,1,0.05,ChatGPT
87,Uncommon,mild,0,0.1,ChatGPT
88,Unlikely,severe,1,0.05,ChatGPT
89,Unlikely,severe,0,0.2,ChatGPT
90,Unlikely,mild,1,0.1,ChatGPT
91,Unlikely,mild,0,0.1,ChatGPT
92,Possible,severe,1,0.2,ChatGPT
93,Possible,severe,0,0.25,ChatGPT
94,Possible,mild,1,0.3,ChatGPT
95,Possible,mild,0,0.5,ChatGPT
96,Common,severe,1,0.2,ChatGPT
97,Common,severe,0,0.3,ChatGPT
98,Common,mild,1,0.3,ChatGPT
